time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1609200000,27039.39,27396.77,25833.73,27366.35,19915.14,19915.14,17580,17580,26865.61666666667,22649.764000000003,28469.55048936327,16829.977510636734,26776.1696298355,26895.09035080355,NaN,NaN,78.42800403717072,74.01717999532137,NaN,NaN
1609286400,27366.35,29018.26,27311.73,28897.42,19915.14,19915.14,17580,17580,28409.13666666667,23181.963000000003,29238.206046282314,17125.719953717693,27399.364254367363,27842.924283068136,NaN,NaN,81.68243231572717,74.79750804669415,NaN,NaN
1609372800,28897.42,29321.9,28000,28990.08,19915.14,19915.14,17580,17580,28770.660000000003,23729.359500000006,29807.41981600033,17651.299183999683,27977.217623331617,28325.721604151884,NaN,NaN,81.86078709247809,75.22437441626992,NaN,NaN
1609459200,28990.08,29688.88,28700,29412.84,19915.14,19915.14,17580,17580,29267.24,24258.937500000007,30379.684759584714,18138.1902404153,28642.53151776748,29223.30422105336,NaN,NaN,82.68896975060973,75.64403791423307,NaN,NaN
1609545600,29413.29,33300,29039,32225.91,19915.14,19915.14,17580,17580,31521.636666666665,24911.900500000007,31489.61713002117,18334.183869978842,29571.719958839505,30357.392358377107,NaN,NaN,86.95647454263079,76.22493933873719,NaN,NaN
1609632000,32222.88,34810,32008.62,33080.66,19915.14,19915.14,17580,17580,33299.76,25602.315000000006,32555.338287700055,18649.291712299957,30775.490716581684,31570.654810280925,NaN,NaN,87.93011266894085,77.13817380770094,NaN,NaN
1609718400,33082.84,33666.99,27678,32019.99,19915.14,19915.14,17580,17580,31121.660000000003,26231.084500000004,33117.0810277118,19345.08797228821,31372.08581683588,32330.71420098532,NaN,NaN,79.95437812648095,77.9720996262412,NaN,NaN
1609804800,32020.22,34499.67,29891.13,34030.64,19915.14,19915.14,17580,17580,32807.14666666667,26864.63400000001,34160.64980904363,19568.618190956393,32400.444778252026,33521.122719504194,NaN,NaN,83.08630998276692,78.74443667160328,NaN,NaN
1609891200,34043.91,37000,33352.54,36859.26,19915.14,19915.14,17580,17580,35737.26666666667,27566.273000000005,35811.261160753376,19321.284839246637,33345.10616435771,34754.551971292305,NaN,NaN,86.32363477572049,80.10258917822887,NaN,NaN
1609977600,36859.26,40425,36200,39505.56,19915.14,19915.14,17580,17580,38710.18666666667,28384.663000000008,37865.57805805227,18903.747941947742,34924.47817967704,36713.66259093578,NaN,NaN,88.53461859932663,81.48468106961442,NaN,NaN
1610064000,39510.55,41986.37,36565.08,40665.15,19915.14,41986.37,17580,17580,39738.86666666667,29225.421000000002,39860.7242221839,18590.117777816104,36307.18682194289,38531.04412913943,NaN,NaN,89.34730750977802,82.68105905435924,NaN,NaN
1610150400,40642.15,41406.94,38800,40257.43,19915.14,41986.37,17580,17580,40154.79,30064.467000000004,41379.26840547607,18749.66559452394,38124.4852669512,40044.308714027815,NaN,NaN,87.01193118854357,83.36557931569452,NaN,NaN
